n_estimators,max_features,train_ratio,val_ratio,test_ratio,train_auc,train_logloss,train_accuracy,train_precision,train_recall,train_f1,val_auc,val_logloss,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_logloss,test_accuracy,test_precision,test_recall,test_f1
10,sqrt,0.6,0.2,0.2,0.9754378324177277,0.24943247752563655,0.9575,0.8598326359832636,0.6861435726210351,0.7632311977715878,0.4806986111111111,0.6574864219281541,0.883,0.16,0.04,0.064,0.5318236111111112,0.5861222386860938,0.8705,0.10666666666666667,0.04,0.05818181818181818
10,sqrt,0.7,0.15,0.15,0.9763556843964409,0.24927164436455795,0.958,0.870201096892139,0.6809728183118741,0.7640449438202247,0.5172691358024691,0.5568719703330509,0.878,0.11627906976744186,0.03333333333333333,0.05181347150259067,0.46220000000000006,0.6371600791285046,0.876,0.16666666666666666,0.06,0.08823529411764706
10,sqrt,0.7,0.2,0.1,0.9757361991052979,0.24505968843525094,0.9582797542506072,0.8666666666666667,0.6881258941344778,0.7671451355661882,0.5090491393670183,0.582500205829102,0.8725637181409296,0.04918032786885246,0.015,0.022988505747126436,0.5011944444444444,0.7343593965790078,0.872,0.0625,0.02,0.030303030303030304
10,sqrt,0.8,0.1,0.1,0.9744092441941316,0.25261988585319584,0.9538692336542067,0.8423566878980892,0.6620775969962454,0.7414155571128241,0.5278801331853497,0.5987958980376743,0.8731268731268731,0.034482758620689655,0.01,0.015503875968992248,0.5180555555555556,0.5711156524728963,0.875,0.037037037037037035,0.01,0.015748031496062992
10,log2,0.6,0.2,0.2,0.9754376778677294,0.24943247752563655,0.9575,0.8598326359832636,0.6861435726210351,0.7632311977715878,0.4806986111111111,0.657486421928154,0.883,0.16,0.04,0.064,0.5318236111111111,0.5861222386860938,0.8705,0.10666666666666667,0.04,0.05818181818181818
10,log2,0.7,0.15,0.15,0.9763556843964409,0.24927164436455795,0.958,0.870201096892139,0.6809728183118741,0.7640449438202247,0.5172691358024691,0.5568719703330509,0.878,0.11627906976744186,0.03333333333333333,0.05181347150259067,0.46220000000000006,0.6371600791285046,0.876,0.16666666666666666,0.06,0.08823529411764706
10,log2,0.7,0.2,0.1,0.9757361991052977,0.24505968843525094,0.9582797542506072,0.8666666666666667,0.6881258941344778,0.7671451355661882,0.5090491393670183,0.582500205829102,0.8725637181409296,0.04918032786885246,0.015,0.022988505747126436,0.5011944444444444,0.7343593965790078,0.872,0.0625,0.02,0.030303030303030304
10,log2,0.8,0.1,0.1,0.9744091572799332,0.25261988585319584,0.9538692336542067,0.8423566878980892,0.6620775969962454,0.7414155571128241,0.5278801331853497,0.5987958980376743,0.8731268731268731,0.034482758620689655,0.01,0.015503875968992248,0.5180555555555556,0.5711156524728963,0.875,0.037037037037037035,0.01,0.015748031496062992
10,0.3,0.6,0.2,0.2,0.9785993071832675,0.24232771900897077,0.9603333333333334,0.8848614072494669,0.6928213689482471,0.7771535580524345,0.5004625,0.6511253253849267,0.876,0.05555555555555555,0.015,0.023622047244094488,0.48351805555555555,0.6947591374627105,0.8715,0.06153846153846154,0.02,0.03018867924528302
10,0.3,0.7,0.15,0.15,0.9783506217306833,0.2420520293092177,0.9597142857142857,0.8811700182815356,0.6895565092989986,0.7736757624398074,0.5067432098765432,0.5926276073062678,0.8866666666666667,0.16666666666666666,0.03333333333333333,0.05555555555555555,0.5346123456790124,0.5917925255868881,0.878,0.07692307692307693,0.02,0.031746031746031744
10,0.3,0.7,0.2,0.1,0.977695914798919,0.23954259475437398,0.9588512644663524,0.8743169398907104,0.6866952789699571,0.7692307692307693,0.4885369239311494,0.6679996053596085,0.8775612193903048,0.07547169811320754,0.02,0.03162055335968379,0.4971611111111111,0.6000463543419904,0.88,0.14285714285714285,0.04,0.0625
10,0.3,0.8,0.1,0.1,0.980105687665137,0.24068236494158213,0.9592449056132016,0.8724409448818897,0.6933667083854819,0.7726638772663877,0.4515149833518313,0.712212512641965,0.8811188811188811,0.12,0.03,0.048,0.47814444444444437,0.7366045495531596,0.875,0.0967741935483871,0.03,0.04580152671755725
10,0.5,0.6,0.2,0.2,0.9807761439095402,0.22710800482052415,0.9616666666666667,0.8900634249471459,0.7028380634390651,0.7854477611940298,0.4903222222222222,0.8097307981315538,0.883,0.11363636363636363,0.025,0.040983606557377046,0.5058444444444444,0.6850099590219164,0.88,0.19696969696969696,0.065,0.09774436090225563
10,0.5,0.7,0.15,0.15,0.9820275138560335,0.2325830819242883,0.9612857142857143,0.900749063670412,0.6881258941344778,0.7802108678021087,0.5047160493827161,0.5285330867151161,0.8826666666666667,0.175,0.04666666666666667,0.07368421052631578,0.5007160493827161,0.8346254737483279,0.8766666666666667,0.05128205128205128,0.013333333333333334,0.021164021164021163
10,0.5,0.7,0.2,0.1,0.9805692940027704,0.2258464154059478,0.9611373053293327,0.9020715630885122,0.6852646638054364,0.7788617886178861,0.48999583564686283,0.6592876466607985,0.881559220389805,0.12244897959183673,0.03,0.04819277108433735,0.49007777777777783,0.6946454756804119,0.873,0.0,0.0,0.0
10,0.5,0.8,0.1,0.1,0.9816776178556529,0.2275429494722848,0.9588698587323415,0.8942953020134228,0.6670838548185232,0.76415770609319,0.49239733629300775,0.6620267181357474,0.8781218781218781,0.041666666666666664,0.01,0.016129032258064516,0.4983111111111111,0.6942129833595182,0.871,0.03225806451612903,0.01,0.015267175572519083
