equipment,location,temperature,pressure,vibration,humidity,faulty
Turbine,Chicago,78.64070477468512,30.2791654428598,0.23506929948817956,53.051374980656895,0
Compressor,New York,60.35701216789092,41.55635692194395,1.1605918810026559,54.640389179905505,1
Turbine,Chicago,68.50869099185073,25.321842811982684,2.0253987138388156,28.562679049845844,0
Pump,Atlanta,69.5240307367218,46.036497914898085,1.7741879190138514,68.14516436046836,0
Pump,Chicago,74.1420725230791,26.70680818610642,1.6602419421217456,49.0299701333825,0
Compressor,Atlanta,90.33041454713353,33.0618431234791,1.8624932949352928,49.56908787210538,0
Pump,Chicago,65.84640064652085,45.86376978290963,1.0464794057362268,57.0685970550751,0
Turbine,Atlanta,67.95460045833654,36.13381529930583,1.6548746444445217,67.11672315198929,0
Compressor,New York,69.7052764001123,37.943484624542165,0.8090353190831628,81.1144679754548,0
Pump,San Francisco,65.75931927302628,31.000129918942015,1.6400887538803615,52.22835663066113,0
Turbine,Chicago,66.1400568249055,43.68716003302258,3.386191628090951,60.06196267146446,0
Turbine,Atlanta,67.1295648234733,47.05721573748044,-0.428188,65.72554106777751,0
Turbine,New York,74.10268301943131,23.683898350559446,1.2847991312930398,43.09240894932333,1
Compressor,Chicago,59.56930659690951,23.98157679717656,1.0359672939645441,51.07543873426436,0
Pump,San Francisco,88.54541665231163,38.98023374405664,1.6628927630802486,63.726816661067616,0
Compressor,Atlanta,67.67698642379004,30.85883637928124,0.03676207268542586,67.07288294444496,0
Pump,San Francisco,86.40848657948915,24.37300252340927,1.1206754581744962,56.54140315508248,0
Pump,San Francisco,44.857211961981506,40.37096085477946,1.9733489621659137,42.133240592508955,0
Compressor,New York,68.8615446202845,14.903840828136573,1.2499660275697566,67.08787436552743,0
Compressor,Atlanta,59.59121576351049,42.263969455609654,2.763082922374143,54.52427815826268,0
Compressor,San Francisco,71.32919415922703,40.22352435800053,1.3645335787676756,53.526986033292616,0
Compressor,San Francisco,76.18380264204868,24.844700980508318,1.2055299459963662,54.69060442673196,0
Compressor,New York,83.33984763627204,28.776501493738348,2.2767847658964535,76.84207986755304,0
Compressor,Chicago,91.65501936526223,24.870520689427387,0.36593178251499636,42.946910733089084,0
Pump,Houston,86.85690140046445,31.325687289305883,0.6473858966291482,44.93349981738798,1
Turbine,Chicago,58.231415935054684,35.44616911013903,0.7803280650794543,51.29990346133671,0
Pump,Atlanta,106.28065613040316,17.818733311088973,1.3959403486986088,36.6297406069402,0
Compressor,Houston,84.10115514870083,28.176308808651257,2.32773608850656,58.89027784582716,0
Compressor,Chicago,69.00372819809307,33.04899268383125,1.5426039663186464,68.50797288646712,0
Pump,Atlanta,95.35853002840707,41.02862694581754,1.7357481238202712,62.49150873902686,0
Pump,Chicago,97.00927876943268,45.01469913735337,0.8637155031197038,83.26576390992409,0
Turbine,Atlanta,91.35351238186226,35.037283725905205,2.0138890904775897,61.25740510457615,0
Turbine,Houston,53.89491596560188,47.8701429946361,1.8184996325866738,69.52485998530929,0
Turbine,New York,63.81715323798171,46.452347957972975,0.6224502059645197,34.97656193133136,0
Turbine,San Francisco,37.562004907717245,43.01909163064225,1.6878205110997746,43.38770808958989,0
Compressor,San Francisco,80.78087799619907,44.70076421328121,2.4025417843319876,33.15536342349566,0
Pump,New York,59.278761910617185,21.275930360478434,2.054693974085269,45.686650050324545,0
Turbine,Houston,70.05223603525316,41.39291081466702,1.061257119809947,52.50216183665964,0
Compressor,New York,79.52279919455906,36.77233185465344,1.1185661174098296,40.49253294911754,0
Pump,San Francisco,93.23386844737084,34.82146051874319,1.2959186686548523,38.77702523856942,0
Compressor,Atlanta,99.91796723551839,37.71165936060624,1.5134727738708333,75.60451094989234,1
Pump,Atlanta,82.7795013004457,14.882224864000936,2.357766193658746,62.826661153701295,0
Pump,San Francisco,50.04950944439883,23.045332967841905,1.8838374620868665,63.80082881498292,0
Pump,San Francisco,81.59863406703221,29.839992169865727,1.6130889261445356,55.22616982992726,0
Pump,Atlanta,52.18084880462318,42.32077002646045,2.9014356712878824,72.27954439633743,0
Turbine,San Francisco,87.1443052183845,52.87094736620581,1.0419121030165173,81.88358464966717,0
Turbine,New York,45.90024901706896,31.015217778941334,3.246367832906926,68.15177228751875,1
Turbine,New York,75.20576423886224,44.66013694402866,2.3794795010897882,63.629932688741356,0
Compressor,Atlanta,67.9866459470591,48.824260861633384,0.9895536665337232,68.86032773044869,0
Compressor,Chicago,65.775471012252,42.297378214709646,0.8792631440429785,77.35350734117185,0
Turbine,Atlanta,95.02917244836738,36.05904421730186,0.7195595580818501,60.3314162923217,0
Turbine,San Francisco,63.888419896929626,34.03109420633224,1.590100176239769,43.076426895600385,1
Turbine,Atlanta,69.83360512526765,33.342417240750585,2.072907528007936,62.564731955544545,1
Pump,San Francisco,65.70206355320317,51.84443912210213,2.469922547533901,46.35536555484564,0
Pump,New York,73.79863748996043,39.87275010426914,1.2007298178727142,51.27461074799511,0
Turbine,New York,79.27148596199066,37.92208905243429,2.6209218474332094,45.23046960335921,0
Turbine,San Francisco,67.09438778548967,22.555199701360337,1.3830739121639595,55.12798020837168,0
Pump,San Francisco,69.78396613564574,32.56781864350912,1.2198966235866466,50.560686223350224,0
Turbine,Atlanta,73.19095018409969,32.39642676420114,2.9053865035515063,20.0,1
Turbine,New York,74.74190166193432,25.342619945673317,1.2971427330299665,68.81737615056018,0
Turbine,Atlanta,71.91096995817982,37.692444360298204,1.7341403003467515,71.9744201644223,1
Compressor,New York,71.12998375482745,32.25489857500541,3.548481332430905,44.906743164545254,0
Turbine,Houston,83.70994699434999,17.0115479156907,0.813579208267271,58.85353810762939,0
Pump,Atlanta,69.02633898607122,39.6016328501201,1.0654324927523757,58.93133534733154,0
Compressor,New York,82.86052390023423,44.473884730838044,2.084603107254094,57.46650652501799,0
Pump,Houston,60.01599810954092,27.004030678035143,2.820915889359422,77.24493021356115,0
Turbine,Atlanta,92.51256181846696,44.31294550572541,1.6754004208017963,58.08483925458114,0
Pump,San Francisco,69.63194897455901,25.5711067830789,0.8317673883169808,59.34717444467536,0
Turbine,Atlanta,59.10422802183397,23.52407467350781,2.9217615412634292,48.56597993698882,0
Turbine,San Francisco,69.75305878412958,42.81978444862359,3.352995477301814,36.78033344714362,0
Compressor,San Francisco,60.77718461939617,39.771948332431236,2.106456230643276,35.93070206010039,0
Turbine,Chicago,78.77961298157697,30.90040040731496,1.4967444051730143,75.32124269949358,0
Pump,Houston,60.303042718291174,17.730964343292925,2.7534853141301174,52.761476377277006,1
Pump,San Francisco,90.56835841292127,26.385480866265915,0.4456702628676259,47.11647141536159,0
Pump,Houston,60.03216541759839,17.324521471521056,0.362806317578801,67.30887258811005,0
Compressor,Atlanta,77.59591818040364,36.69235063775178,1.984160439017511,67.6121563518414,0
Turbine,San Francisco,67.295561053966,41.93851761131829,1.6142726537646144,58.37745640391398,0
Turbine,New York,65.30042954003919,44.87774372566235,0.9266433669850753,51.954889743883385,0
Turbine,Chicago,69.64657458972097,47.238331300281665,1.4621359583788796,52.43179403865556,0
Compressor,New York,69.70728810449691,21.148548220426235,1.7774695044910023,43.95028133546967,0
Pump,Atlanta,85.86896875167008,28.339058698635075,1.1288881767714796,53.782446358339115,1
Pump,New York,65.51264261338679,27.255689811073626,1.1947089133595747,49.31564344145791,0
Pump,Houston,60.52725042165417,49.35948777922762,2.4526964129961253,51.32191368932985,0
Compressor,New York,57.02410459792431,29.635898103001153,0.7463980375807012,53.26495152951513,0
Compressor,Houston,70.8722172376315,31.401573691292167,0.5329279468346941,30.798823954787824,0
Compressor,Chicago,52.4387105009709,28.291662542854922,2.5494502862394803,45.83362303987664,0
Compressor,San Francisco,78.85816580140425,22.422112044247843,0.9901155120942126,37.44245724171394,0
Turbine,New York,78.07472011376309,33.885237072425895,1.7276176805850827,65.19634129194117,0
Turbine,New York,83.2828145756622,33.6417397650624,0.7380949872546124,63.70726336633034,0
