n_estimators,max_features,train_ratio,val_ratio,test_ratio,train_auc,train_logloss,train_accuracy,train_precision,train_recall,train_f1,val_auc,val_logloss,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_logloss,test_accuracy,test_precision,test_recall,test_f1,split_label,overfit_auc
10,0.3,0.5,0.2,0.3,0.9733560454241816,0.23676342723477142,0.9529905981196239,0.8235294117647058,0.6733466933867736,0.74090407938258,0.4983287062742921,0.7525776487233538,0.8740629685157422,0.175,0.07,0.1,0.5174203703703704,0.7520369777448873,0.873,0.10679611650485436,0.03666666666666667,0.05459057071960298,50/20/30,0.47502733914988954
11,0.3,0.5,0.2,0.3,0.9776657759964372,0.2360377634796553,0.9581916383276655,0.8553921568627451,0.6993987975951904,0.7695700110253583,0.4943073292615214,0.6861273870554798,0.8765617191404298,0.16901408450704225,0.06,0.08856088560885608,0.5163228395061727,0.6622895588303833,0.878,0.0975609756097561,0.02666666666666667,0.041884816753926704,50/20/30,0.48335844673491585
11,log2,0.6,0.2,0.2,0.9768430010024114,0.24901244591118754,0.9625,0.8961864406779662,0.7061769616026711,0.7899159663865546,0.4836847222222222,0.6554046565842415,0.883,0.18518518518518517,0.05,0.07874015748031496,0.5231958333333333,0.5560757894461956,0.869,0.10256410256410256,0.04,0.05755395683453238,60/20/20,0.4931582787801892
11,sqrt,0.6,0.2,0.2,0.9768430010024114,0.24901244591118754,0.9625,0.8961864406779662,0.7061769616026711,0.7899159663865546,0.4836875,0.6554046565842415,0.883,0.18518518518518517,0.05,0.07874015748031496,0.5231944444444445,0.5560757894461956,0.869,0.10256410256410256,0.04,0.05755395683453238,60/20/20,0.4931555010024114
10,0.5,0.7,0.15,0.15,0.9820275138560335,0.2325830819242883,0.9612857142857143,0.900749063670412,0.6881258941344778,0.7802108678021087,0.5047160493827161,0.5285330867151161,0.8826666666666667,0.175,0.04666666666666667,0.07368421052631578,0.5007185185185186,0.8346254737483279,0.8766666666666667,0.05128205128205128,0.013333333333333334,0.021164021164021163,70/15/15,0.4773114644733174
21,0.3,0.8,0.1,0.1,0.9949707968293701,0.23484846884478086,0.9706213276659582,0.9622950819672131,0.7346683354192741,0.8332150461320085,0.450677025527192,0.43584674260164896,0.8981018981018981,0.4,0.04,0.07272727272727272,0.5107944444444444,0.45572712695588663,0.886,0.0625,0.01,0.017241379310344827,80/10/10,0.544293771302178
19,0.3,0.8,0.1,0.1,0.994296516478932,0.23535815375597377,0.9692461557694712,0.9585406301824212,0.723404255319149,0.8245363766048502,0.4627968923418424,0.4353991052968756,0.8961038961038961,0.3333333333333333,0.04,0.07142857142857142,0.5026166666666667,0.45690108174742183,0.885,0.058823529411764705,0.01,0.017094017094017096,80/10/10,0.5314996241370896
20,0.3,0.8,0.1,0.1,0.9944327979418717,0.23535865754018165,0.968871108888611,0.9568106312292359,0.72090112640801,0.8222698072805139,0.45864594894561594,0.4354792063733255,0.8951048951048951,0.3076923076923077,0.04,0.07079646017699115,0.5025166666666666,0.45777307262721795,0.888,0.0,0.0,0.0,80/10/10,0.5357868489962557
12,0.3,0.5,0.2,0.3,0.9805299487864618,0.2353709863369752,0.9561912382476495,0.8535353535353535,0.6773547094188377,0.7553072625698324,0.49815519156024435,0.6346497828333357,0.8765617191404298,0.13846153846153847,0.045,0.06792452830188679,0.5191882716049383,0.6264369227292538,0.879,0.09090909090909091,0.023333333333333334,0.03713527851458886,50/20/30,0.4823747572262175
12,0.5,0.7,0.2,0.1,0.9860568385675683,0.22427727888268353,0.9615659379911415,0.9056603773584906,0.6866952789699571,0.7811228641171685,0.46895752359800114,0.5940996897537841,0.8895552223888056,0.21621621621621623,0.04,0.06751054852320675,0.4946944444444445,0.6260187362745568,0.877,0.04,0.01,0.016,70/20/10,0.5170993149695672
11,0.5,0.7,0.15,0.15,0.9859650544830294,0.23043746911205737,0.9615714285714285,0.9118773946360154,0.6809728183118741,0.7796887796887797,0.4895753086419753,0.510141028660291,0.8873333333333333,0.1935483870967742,0.04,0.06629834254143646,0.5009012345679013,0.7257170484406574,0.882,0.09090909090909091,0.02,0.03278688524590164,70/15/15,0.4963897458410541
10,log2,0.5,0.2,0.3,0.9722997105321755,0.24610506345228583,0.9537907581516303,0.8401015228426396,0.6633266533066132,0.7413213885778276,0.47000277623542486,0.7101501605912434,0.872063968015992,0.12162162162162163,0.045,0.06569343065693431,0.5073586419753087,0.6373705912422928,0.8733333333333333,0.12962962962962962,0.04666666666666667,0.06862745098039216,50/20/30,0.5022969342967506
10,sqrt,0.5,0.2,0.3,0.9722997105321755,0.2461050634522858,0.9537907581516303,0.8401015228426396,0.6633266533066132,0.7413213885778276,0.4700027762354248,0.7101501605912434,0.872063968015992,0.12162162162162163,0.045,0.06569343065693431,0.5073586419753087,0.6373705912422928,0.8733333333333333,0.12962962962962962,0.04666666666666667,0.06862745098039216,50/20/30,0.5022969342967507
12,0.5,0.7,0.15,0.15,0.9875954698927141,0.22970528387307523,0.9648571428571429,0.9217877094972067,0.7081545064377682,0.8009708737864077,0.479995061728395,0.4680010309386844,0.884,0.16666666666666666,0.04,0.06451612903225806,0.5051530864197531,0.6368222842456799,0.8793333333333333,0.05714285714285714,0.013333333333333334,0.021621621621621623,70/15/15,0.5076004081643191
